                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.851,                 3.7134,                0.97985,                0.00877,                0.06183,                0.03869,                0.01337,                 1.6214,                 3.8269,                0.87977,               0.000225,               0.000225,               0.000225
                      2,                 1.5557,                 1.5698,                0.89373,                0.02734,                0.16759,                0.06854,                0.03086,                 1.5624,                 3.1912,                0.87925,             0.00045792,             0.00045792,             0.00045792
                      3,                 1.4808,                  1.289,                0.87683,                0.05683,                0.33707,                0.21029,                0.09404,                 1.5903,                 2.4392,                0.87464,             0.00068614,             0.00068614,             0.00068614
                      4,                 1.4559,                 1.2106,                0.87169,                0.96681,                0.17286,                 0.2182,                0.09476,                 1.6724,                 1.9255,                0.87596,             0.00090966,             0.00090966,             0.00090966
                      5,                 1.4301,                 1.1499,                0.86682,                0.71939,                0.19484,                0.22739,                0.12798,                  1.374,                 1.6769,                0.85807,              0.0011285,              0.0011285,              0.0011285
                      6,                 1.3791,                 1.1106,                0.86044,                0.77229,                0.24398,                0.24932,                0.15049,                   1.26,                 1.0735,                0.85893,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.3688,                 1.0757,                0.85275,                0.85464,                0.25051,                0.27869,                0.17399,                 1.2151,                  1.088,                 0.8482,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.2872,                 1.0277,                0.84828,                0.72146,                0.29126,                0.29105,                0.17438,                 1.2228,                0.98561,                0.84561,              0.0011634,              0.0011634,              0.0011634
                      9,                  1.309,                 1.0203,                0.84213,                 0.9213,                0.25261,                0.33617,                0.20119,                 1.2478,                0.97065,                0.84708,               0.001151,               0.001151,               0.001151
                     10,                 1.3182,                0.98093,                0.85338,                0.79748,                0.29425,                0.36016,                0.22656,                 1.1253,                0.85676,                0.84216,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.3643,                0.99326,                0.85053,                0.65529,                0.33509,                0.35601,                0.19938,                 1.3325,                0.87629,                 0.8563,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.4701,                0.98733,                0.85917,                0.78463,                0.34536,                0.40489,                 0.2395,                 1.2973,                0.90688,                0.85198,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.3106,                0.93647,                0.85115,                0.71725,                0.36168,                0.40372,                0.24286,                 1.1798,                0.83171,                 0.8424,              0.0011015,              0.0011015,              0.0011015
